Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Play Off Game?,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds,Bookmakers Surveyed
10-Jun-17,16:35,Brisbane,Fremantle,Gabba,121,64,,18,13,9,10, 2.31 , 1.62 ,15
10-Jun-17,13:45,Hawthorn,Gold Coast,MCG,79,95,,12,7,13,17, 1.92 , 1.87 ,15
09-Jun-17,19:20,Adelaide,St Kilda,Adelaide Oval,111,54,,16,15,7,12, 1.14 , 5.65 ,15
08-Jun-17,19:20,Sydney,Western Bulldogs,SCG,88,42,,12,16,6,6, 1.74 , 2.07 ,15
04-Jun-17,14:40,Fremantle,Collingwood,Domain Stadium,85,105,,12,13,15,15, 2.05 , 1.76 ,15
03-Jun-17,19:25,North Melbourne,Richmond,Etihad Stadium,66,101,,9,12,14,17, 1.90 , 1.88 ,15
03-Jun-17,16:35,GWS Giants,Essendon,Spotless Stadium,117,101,,18,9,15,11, 1.25 , 3.93 ,15
03-Jun-17,13:45,Gold Coast,West Coast,Metricon Stadium,80,77,,11,14,11,11, 1.96 , 1.83 ,15
02-Jun-17,19:50,Geelong,Adelaide,Simonds Stadium,96,74,,13,18,10,14, 2.10 , 1.72 ,15
01-Jun-17,19:50,Port Adelaide,Hawthorn,Adelaide Oval,98,47,,13,20,7,5, 1.16 , 5.18 ,15
28-May-17,14:40,West Coast,GWS Giants,Domain Stadium,90,98,,14,6,14,14, 1.53 , 2.49 ,14
28-May-17,15:20,Carlton,North Melbourne,Etihad Stadium,96,113,,15,6,17,11, 3.36 , 1.32 ,14
28-May-17,13:10,Collingwood,Brisbane,MCG,129,84,,18,21,13,6, 1.06 , 8.54 ,14
27-May-17,19:10,Adelaide,Fremantle,Adelaide Oval,143,43,,20,23,6,7, 1.15 , 5.43 ,13
27-May-17,19:25,Richmond,Essendon,MCG,81,66,,11,15,10,6, 1.76 , 2.06 ,13
27-May-17,16:05,Melbourne,Gold Coast,Traeger Park,122,87,,18,14,13,9, 1.37 , 3.10 ,13
27-May-17,13:45,Western Bulldogs,St Kilda,Etihad Stadium,90,50,,13,12,7,8, 1.44 , 2.77 ,13
26-May-17,19:50,Sydney,Hawthorn,SCG,75,81,,11,9,12,9, 1.14 , 5.65 ,13
25-May-17,19:20,Geelong,Port Adelaide,Simonds Stadium,81,79,,11,15,11,13, 1.68 , 2.18 ,13
21-May-17,14:40,Fremantle,Carlton,Domain Stadium,86,51,,13,8,7,9, 1.34 , 3.27 ,13
21-May-17,15:20,Melbourne,North Melbourne,MCG,90,104,,13,12,15,14, 1.57 , 2.41 ,13
21-May-17,13:10,Essendon,West Coast,Etihad Stadium,125,64,,19,11,8,16, 2.35 , 1.59 ,13
20-May-17,17:25,Brisbane,Adelaide,Gabba,60,140,,7,18,21,14, 9.40 , 1.05 ,13
20-May-17,19:25,Collingwood,Hawthorn,MCG,90,72,,13,12,11,6, 1.50 , 2.59 ,13
20-May-17,16:35,GWS Giants,Richmond,Spotless Stadium,78,75,,11,12,10,15, 1.25 , 3.94 ,13
20-May-17,13:45,St Kilda,Sydney,Etihad Stadium,68,118,,10,8,18,10, 1.95 , 1.85 ,13
19-May-17,19:50,Geelong,Western Bulldogs,Simonds Stadium,104,81,,16,8,12,9, 1.91 , 1.88 ,13
14-May-17,16:40,North Melbourne,Sydney,Etihad Stadium,78,120,,11,12,18,12, 1.71 , 2.14 ,13
14-May-17,17:20,Gold Coast,Port Adelaide,Jiangwan Sports Centre,38,110,,4,14,16,14, 3.33 , 1.33 ,13
14-May-17,13:10,Richmond,Fremantle,MCG,70,72,,10,10,10,12, 1.41 , 2.89 ,13
13-May-17,19:10,Adelaide,Melbourne,Adelaide Oval,66,107,,9,12,17,5, 1.13 , 5.88 ,13
13-May-17,19:25,Essendon,Geelong,MCG,110,93,,17,8,13,15, 3.35 , 1.32 ,13
13-May-17,16:35,GWS Giants,Collingwood,Spotless Stadium,102,99,,15,12,15,9, 1.21 , 4.39 ,13
13-May-17,14:10,St Kilda,Carlton,Etihad Stadium,85,66,,12,13,10,6, 1.30 , 3.52 ,13
13-May-17,13:45,Hawthorn,Brisbane,University of Tasmania Stadium,113,75,,17,11,11,9, 1.10 , 6.88 ,13
12-May-17,18:10,West Coast,Western Bulldogs,Domain Stadium,69,61,,9,15,8,13, 1.45 , 2.74 ,13
07-May-17,14:40,Fremantle,Essendon,Domain Stadium,116,79,,17,14,11,13, 1.55 , 2.44 ,13
07-May-17,15:20,Melbourne,Hawthorn,MCG,91,94,,14,7,14,10, 1.46 , 2.72 ,13
07-May-17,13:10,Sydney,Brisbane,SCG,135,81,,20,15,12,9, 1.08 , 7.41 ,13
06-May-17,19:25,Gold Coast,Geelong,Metricon Stadium,124,99,,18,16,15,9, 2.63 , 1.49 ,13
06-May-17,19:25,Western Bulldogs,Richmond,Etihad Stadium,80,75,,11,14,11,9, 1.30 , 3.52 ,13
06-May-17,16:05,Port Adelaide,West Coast,Adelaide Oval,87,97,,12,15,15,7, 1.33 , 3.29 ,13
06-May-17,14:10,Collingwood,Carlton,MCG,56,79,,8,8,12,7, 1.33 , 3.28 ,13
06-May-17,13:45,North Melbourne,Adelaide,Blundstone Arena,145,86,,22,13,13,8, 5.58 , 1.15 ,13
05-May-17,19:50,St Kilda,GWS Giants,Etihad Stadium,108,85,,16,12,12,13, 2.73 , 1.46 ,13
30-Apr-17,16:10,Adelaide,Richmond,Adelaide Oval,140,64,,21,14,10,4, 1.16 , 5.24 ,14
30-Apr-17,15:20,Geelong,Collingwood,MCG,78,107,,11,12,15,17, 1.28 , 3.67 ,13
30-Apr-17,13:10,Essendon,Melbourne,Etihad Stadium,74,112,,10,14,17,10, 1.97 , 1.83 ,14
29-Apr-17,18:10,West Coast,Fremantle,Domain Stadium,103,62,,16,7,9,8, 1.31 , 3.44 ,14
29-Apr-17,19:25,North Melbourne,Gold Coast,Etihad Stadium,107,94,,16,11,14,10, 1.43 , 2.82 ,14
29-Apr-17,16:35,Brisbane,Port Adelaide,Gabba,67,150,,10,7,22,18, 5.57 , 1.15 ,14
29-Apr-17,14:10,Carlton,Sydney,MCG,97,78,,15,7,11,12, 3.70 , 1.28 ,14
29-Apr-17,13:45,Hawthorn,St Kilda,University of Tasmania Stadium,55,130,,8,7,19,16, 1.82 , 2.00 ,14
28-Apr-17,19:50,GWS Giants,Western Bulldogs,Manuka Oval,75,73,,11,9,9,19, 1.30 , 3.52 ,14
25-Apr-17,15:20,Essendon,Collingwood,MCG,100,82,,15,10,11,16, 2.46 , 1.55 ,14
24-Apr-17,19:25,Richmond,Melbourne,MCG,88,75,,12,16,11,9, 1.68 , 2.18 ,14
23-Apr-17,16:40,Hawthorn,West Coast,MCG,125,75,,19,11,11,9, 2.74 , 1.46 ,14
23-Apr-17,15:20,St Kilda,Geelong,Etihad Stadium,88,126,,13,10,19,12, 2.57 , 1.50 ,14
22-Apr-17,17:40,Fremantle,North Melbourne,Domain Stadium,67,62,,9,13,9,8, 1.61 , 2.31 ,14
22-Apr-17,19:25,Sydney,GWS Giants,SCG,63,105,,9,9,15,15, 2.55 , 1.51 ,14
22-Apr-17,16:35,Gold Coast,Adelaide,Metricon Stadium,86,153,,13,8,23,15, 4.17 , 1.23 ,14
22-Apr-17,11:45,Western Bulldogs,Brisbane,Etihad Stadium,122,90,,17,20,14,6, 1.05 , 10.23 ,14
21-Apr-17,19:20,Port Adelaide,Carlton,Adelaide Oval,137,47,,20,17,6,11, 1.06 , 8.97 ,14
17-Apr-17,15:20,Hawthorn,Geelong,MCG,48,134,,6,12,20,14, 2.87 , 1.42 ,15
16-Apr-17,16:40,Brisbane,Richmond,Gabba,67,119,,10,7,17,17, 3.17 , 1.35 ,15
16-Apr-17,15:20,Collingwood,St Kilda,Etihad Stadium,55,69,,7,13,9,15, 1.62 , 2.29 ,15
15-Apr-17,19:10,Adelaide,Essendon,Adelaide Oval,153,88,,24,9,13,10, 1.16 , 5.29 ,14
15-Apr-17,19:25,Carlton,Gold Coast,Etihad Stadium,82,108,,12,10,17,6, 2.05 , 1.77 ,15
15-Apr-17,16:35,GWS Giants,Port Adelaide,Manuka Oval,112,81,,16,16,11,15, 1.37 , 3.09 ,15
15-Apr-17,13:45,Melbourne,Fremantle,MCG,104,106,,15,14,16,10, 1.35 , 3.19 ,15
14-Apr-17,16:20,North Melbourne,Western Bulldogs,Etihad Stadium,86,89,,12,14,12,17, 3.54 , 1.30 ,15
13-Apr-17,18:10,West Coast,Sydney,Domain Stadium,91,65,,13,13,10,5, 1.36 , 3.15 ,14
09-Apr-17,16:40,Gold Coast,Hawthorn,Metricon Stadium,139,53,,21,13,7,11, 3.06 , 1.38 ,14
09-Apr-17,15:20,Carlton,Essendon,MCG,57,42,,7,15,6,6, 3.23 , 1.35 ,14
09-Apr-17,13:10,St Kilda,Brisbane,Etihad Stadium,107,76,,14,23,11,10, 1.15 , 5.44 ,14
08-Apr-17,17:40,Fremantle,Western Bulldogs,Domain Stadium,89,73,,13,11,10,13, 4.88 , 1.18 ,14
08-Apr-17,19:10,Port Adelaide,Adelaide,Adelaide Oval,83,100,,12,11,15,10, 2.32 , 1.61 ,14
08-Apr-17,16:35,Geelong,Melbourne,Etihad Stadium,126,97,,20,6,13,19, 1.40 , 2.96 ,14
08-Apr-17,14:10,Richmond,West Coast,MCG,76,65,,11,10,8,17, 2.56 , 1.51 ,13
08-Apr-17,13:45,North Melbourne,GWS Giants,Blundstone Arena,67,109,,10,7,15,19, 4.31 , 1.22 ,14
07-Apr-17,19:50,Sydney,Collingwood,SCG,79,80,,11,13,11,14, 1.45 , 2.74 ,14
02-Apr-17,16:10,Port Adelaide,Fremantle,Adelaide Oval,145,56,,22,13,8,8, 1.21 , 4.50 ,14
02-Apr-17,15:20,Melbourne,Carlton,MCG,86,64,,13,8,9,10, 1.21 , 4.35 ,14
02-Apr-17,13:10,Geelong,North Melbourne,Etihad Stadium,112,111,,17,10,17,9, 1.18 , 4.86 ,14
01-Apr-17,16:40,West Coast,St Kilda,Domain Stadium,116,97,,18,8,13,19, 1.14 , 5.63 ,15
01-Apr-17,18:25,Brisbane,Essendon,Gabba,84,111,,12,12,17,9, 2.90 , 1.41 ,14
01-Apr-17,16:35,GWS Giants,Gold Coast,Spotless Stadium,160,58,,24,16,8,10, 1.12 , 6.37 ,14
01-Apr-17,13:45,Hawthorn,Adelaide,MCG,89,113,,13,11,16,17, 2.04 , 1.78 ,14
31-Mar-17,19:50,Western Bulldogs,Sydney,Etihad Stadium,110,87,,16,14,13,9, 1.39 , 3.01 ,14
30-Mar-17,19:20,Richmond,Collingwood,MCG,99,80,,14,15,11,14, 2.14 , 1.71 ,14
26-Mar-17,16:40,Fremantle,Geelong,Domain Stadium,73,115,,10,13,18,7, 2.23 , 1.66 ,15
26-Mar-17,14:50,Adelaide,GWS Giants,Adelaide Oval,147,91,,22,15,14,7, 2.25 , 1.65 ,14
26-Mar-17,13:10,North Melbourne,West Coast,Etihad Stadium,93,136,,13,15,21,10, 3.40 , 1.32 ,15
25-Mar-17,19:05,Gold Coast,Brisbane,Metricon Stadium,96,98,,14,12,15,8, 1.28 , 3.67 ,15
25-Mar-17,19:25,Essendon,Hawthorn,MCG,116,91,,17,14,12,19, 3.16 , 1.36 ,15
25-Mar-17,16:35,St Kilda,Melbourne,Etihad Stadium,90,120,,13,12,18,12, 1.65 , 2.25 ,15
25-Mar-17,16:35,Sydney,Port Adelaide,SCG,82,110,,12,10,17,8, 1.28 , 3.70 ,15
24-Mar-17,19:50,Collingwood,Western Bulldogs,MCG,86,100,,12,14,15,10, 2.88 , 1.41 ,15
23-Mar-17,19:20,Carlton,Richmond,MCG,89,132,,14,5,20,12, 2.90 , 1.42 ,15
01-Oct-16,14:30,Sydney,Western Bulldogs,MCG,67,89,Y,10,7,13,11, 1.51 , 2.60 ,14
24-Sep-16,17:15,GWS Giants,Western Bulldogs,Spotless Stadium,83,89,Y,12,11,13,11, 1.38 , 3.04 ,13
23-Sep-16,19:50,Geelong,Sydney,MCG,60,97,Y,8,12,15,7, 1.66 , 2.23 ,13
17-Sep-16,19:25,Sydney,Adelaide,SCG,118,82,Y,18,10,12,10, 1.59 , 2.38 ,14
16-Sep-16,19:50,Hawthorn,Western Bulldogs,MCG,84,107,Y,12,12,16,11, 1.55 , 2.46 ,14
10-Sep-16,19:10,Adelaide,North Melbourne,Adelaide Oval,141,79,Y,21,15,12,7, 1.15 , 5.48 ,14
